Scenario,Episode,Result,Steps,Final_HP,Is_Success,Is_Flow,Real_Time_Sec
2. Walls Only,83,too_fast,36,3,1,0,0.0116
2. Walls Only,84,too_fast,30,3,1,0,0.0103
2. Walls Only,85,flow_success,76,3,1,1,0.0367
2. Walls Only,86,too_fast,44,3,1,0,0.0212
2. Walls Only,87,flow_success,74,3,1,1,0.036
2. Walls Only,88,flow_success,62,3,1,1,0.0275
2. Walls Only,89,too_fast,48,3,1,0,0.0177
2. Walls Only,90,flow_success,52,3,1,1,0.0186
2. Walls Only,91,too_fast,34,3,1,0,0.013
2. Walls Only,92,too_fast,36,3,1,0,0.0113
2. Walls Only,93,flow_success,60,3,1,1,0.0275
2. Walls Only,94,flow_success,68,3,1,1,0.0321
2. Walls Only,95,flow_success,52,3,1,1,0.0219
2. Walls Only,96,too_fast,36,3,1,0,0.0113
2. Walls Only,97,flow_success,52,3,1,1,0.0205
2. Walls Only,98,too_fast,36,3,1,0,0.0114
2. Walls Only,99,too_fast,48,3,1,0,0.0187
2. Walls Only,100,too_fast,44,3,1,0,0.0179
3. Walls + Monsters,1,too_fast,48,3,1,0,0.0174
3. Walls + Monsters,2,flow_success,88,1,1,1,0.0511
3. Walls + Monsters,3,flow_success,60,3,1,1,0.0239
3. Walls + Monsters,4,too_fast,32,3,1,0,0.0136
3. Walls + Monsters,5,flow_success,68,3,1,1,0.0323
3. Walls + Monsters,6,flow_success,76,3,1,1,0.0463
3. Walls + Monsters,7,timeout,151,3,0,0,0.0932
3. Walls + Monsters,8,flow_success,56,3,1,1,0.0213
3. Walls + Monsters,9,too_fast,28,3,1,0,0.008
3. Walls + Monsters,10,too_fast,36,3,1,0,0.0122
3. Walls + Monsters,11,too_fast,48,3,1,0,0.0196
3. Walls + Monsters,12,died,28,0,0,0,0.0158
3. Walls + Monsters,13,too_fast,40,3,1,0,0.013
3. Walls + Monsters,14,too_fast,40,3,1,0,0.0159
3. Walls + Monsters,15,too_fast,44,3,1,0,0.0157
3. Walls + Monsters,16,flow_success,70,3,1,1,0.0368
3. Walls + Monsters,17,flow_success,56,3,1,1,0.0249
3. Walls + Monsters,18,flow_success,68,3,1,1,0.0292
3. Walls + Monsters,19,too_fast,36,3,1,0,0.0109
3. Walls + Monsters,20,flow_success,56,3,1,1,0.0224
3. Walls + Monsters,21,too_fast,40,3,1,0,0.0144
3. Walls + Monsters,22,flow_success,52,3,1,1,0.0238
3. Walls + Monsters,23,too_fast,40,3,1,0,0.0131
3. Walls + Monsters,24,too_fast,48,3,1,0,0.0219
3. Walls + Monsters,25,flow_success,60,3,1,1,0.0267
3. Walls + Monsters,26,flow_success,56,3,1,1,0.0226
3. Walls + Monsters,27,too_fast,32,3,1,0,0.0123
3. Walls + Monsters,28,flow_success,52,1,1,1,0.0267
3. Walls + Monsters,29,flow_success,52,1,1,1,0.0219
3. Walls + Monsters,30,died,21,0,0,0,0.0133
3. Walls + Monsters,31,flow_success,56,3,1,1,0.0236
3. Walls + Monsters,32,flow_success,96,3,1,1,0.0493
3. Walls + Monsters,33,too_fast,44,3,1,0,0.0151
3. Walls + Monsters,34,too_fast,36,3,1,0,0.0113
3. Walls + Monsters,35,too_fast,28,3,1,0,0.0078
3. Walls + Monsters,36,died,29,0,0,0,0.0254
3. Walls + Monsters,37,too_fast,36,3,1,0,0.0109
3. Walls + Monsters,38,flow_success,52,3,1,1,0.0191
3. Walls + Monsters,39,flow_success,52,3,1,1,0.0191
3. Walls + Monsters,40,too_fast,44,3,1,0,0.0144
3. Walls + Monsters,41,flow_success,92,3,1,1,0.0486
3. Walls + Monsters,42,flow_success,64,3,1,1,0.0309
3. Walls + Monsters,43,too_fast,34,3,1,0,0.0104
3. Walls + Monsters,44,died,40,0,0,0,0.0247
3. Walls + Monsters,45,too_fast,44,3,1,0,0.0145
3. Walls + Monsters,46,too_fast,48,3,1,0,0.018
3. Walls + Monsters,47,flow_success,64,3,1,1,0.0325
3. Walls + Monsters,48,flow_success,72,3,1,1,0.04
3. Walls + Monsters,49,flow_success,64,3,1,1,0.0261
3. Walls + Monsters,50,flow_success,72,2,1,1,0.0345
3. Walls + Monsters,51,flow_success,52,3,1,1,0.022
3. Walls + Monsters,52,flow_success,52,1,1,1,0.0256
3. Walls + Monsters,53,flow_success,56,3,1,1,0.0224
3. Walls + Monsters,54,flow_success,60,3,1,1,0.0251
3. Walls + Monsters,55,flow_success,52,3,1,1,0.0183
3. Walls + Monsters,56,flow_success,64,3,1,1,0.0284
3. Walls + Monsters,57,flow_success,70,3,1,1,0.0488
3. Walls + Monsters,58,flow_success,58,3,1,1,0.0265
3. Walls + Monsters,59,flow_success,52,3,1,1,0.0251
3. Walls + Monsters,60,died,50,0,0,0,0.0309
3. Walls + Monsters,61,flow_success,64,3,1,1,0.0306
3. Walls + Monsters,62,died,34,0,0,0,0.0218
3. Walls + Monsters,63,flow_success,88,1,1,1,0.0485
3. Walls + Monsters,64,flow_success,64,1,1,1,0.0277
3. Walls + Monsters,65,too_fast,40,3,1,0,0.0132
3. Walls + Monsters,66,flow_success,72,3,1,1,0.0306
3. Walls + Monsters,67,too_fast,36,3,1,0,0.0125
3. Walls + Monsters,68,flow_success,72,2,1,1,0.0325
3. Walls + Monsters,69,flow_success,60,3,1,1,0.0296
3. Walls + Monsters,70,flow_success,68,3,1,1,0.0271
3. Walls + Monsters,71,flow_success,68,3,1,1,0.0354
3. Walls + Monsters,72,too_fast,44,3,1,0,0.015
3. Walls + Monsters,73,too_fast,44,3,1,0,0.016
3. Walls + Monsters,74,too_fast,32,3,1,0,0.0093
3. Walls + Monsters,75,too_fast,44,3,1,0,0.0164
3. Walls + Monsters,76,flow_success,72,3,1,1,0.0372
3. Walls + Monsters,77,too_fast,32,3,1,0,0.0101
3. Walls + Monsters,78,flow_success,64,3,1,1,0.0261
3. Walls + Monsters,79,too_fast,32,3,1,0,0.0096
